id,name,rank,genre,soundcloud_track_id,playcount_all,playcount_weekly,artist
786518950,AISYAH ISTRI RASULULLAH-SYAKIR DAULAY ( COVER ),14,,786518950,19393,4349,aswar 456
785940817,Eclat Story - Bentuk Cinta.mp3,15,,785940817,27007,4300,Syahril Amir
783585220,I'M FINE,16,OST,783585220,47980,4262,studio.NNG
787338274,Aisyah Istri Rasulullah,17,Religion & Spirituality,787338274,15277,4231,Rian Fournine
784850593,Frank Ocean - Cayendo,18,,784850593,26369,4182,n
785784475,Aisyah Istri Rasulullah-Fikdol Cover.mp3,19,Pop,785784475,14717,3782,FikDolCover
783090016,a đừng cứ mãi nói lời xin lỗi r thôi..,20,,783090016,49069,3567,hnhngan
784790545,Frank Ocean - Cayendo (Acoustic),21,,784790545,22770,3363,kris reup
787311673,SABYAN - AISYAH COVER,22,Pop,787311673,14027,3187,Musik Indonesia
785141710,Vùng Ký Ức - Chillies,23,Indie,785141710,15763,2807,Haden.23
784654693,Dabin - Hope It Hurts feat. Essenger,24,Electronic,784654693,17846,2684,DABIN
786638419,"수호 (SUHO) - Let’s Love (사랑, 하자)",25,Rock,786638419,8476,2364,L2ShareEXO
787099819,Part.20 Merana Ulian Corona!! - DJ Mang Sada,26,funkot,787099819,7762,2308,Nir Nur
784710814,Emin feat. Jony - Камин ( DJ SerhiBL remix ),27,Hip-hop & Rap,784710814,13239,2176,Serzh Bilyk
783960583,Harry Styles Selects_Zane Lowe Beats 1 _March 2020,28,,783960583,17767,2114,StylesIndie
785073403,Aisyah Istri Rasulullah - Ronald Saifullah,29,,785073403,10716,2070,RonaldSaifullah
783390022,Felix Irwan Cover Full Album  Pilihan Terbaik + Enak Didengar Setiap Waktu,30,,783390022,21771,2012,Musik Cover Indonesia
784859434,Dear April - Frank Ocean,31,,784859434,12314,2003,50klipsmel
784799830,Dear April Acoustic,32,Electronic,784799830,12189,1996,c
786087295,Aisyah Istri Rasulullah (Cover),33,,786087295,6152,1927,@ayuuusss
785617027,Meus Pensamentos,34,Indie,785617027,8161,1868,MARK EXODUS
783157414,The Rainbow,35,,783157414,20526,1802,Early Stage
787301089,Aisyah Istri Rasulullah - Puja Syarma (Cover Version),36,Pop,787301089,6275,1800,Musik Indonesia
785951686,Bentuk Cinta-eclat story,37,,785951686,9339,1765,Syahril Amir
785172211,Vùng Ký Ức - Chillies (cover),38,,785172211,9397,1758,i Laciiu
786830020,수호 (SUHO) - 자화상 (Self-Portrait) - The 1st Mini Album,39,Rock,786830020,5843,1735,L2ShareEXO
784846408,Dukhi Wala Podcast Ft DJ AST,40,punjabi,784846408,8927,1679,DJ AST
785616988,Avulso,41,Indie,785616988,7332,1656,MARK EXODUS
784173823,Dilsinho - Deixa pra amanhã | 2020,42,,784173823,13004,1634,MELHORES PAGODES ✪
785258323,아로하 (Aloha) - 조정석 (CHO JUNG SEOK) from 슬기로운 의사생활 (Hospital Playlist OST),43,Soundtrack,785258323,13706,1631,Kan's House
786627322,Aisyah Istri Rasulullah - Zahran x Izzuddin (Cover),44,Religi,786627322,4697,1628,M Izzuddin Marzuq
783808015,Hold Me - Jake Banfield (prod. by King 80),45,Pop,783808015,18276,1608,Jake Banfield
785384038,SABYAN - AISYAH COVER,46,Pop,785384038,10088,1545,Nissa Sabyan
786556870,Aisyah istri rasulullah,47,,786556870,4726,1526,Tazri
785515639,BOY,48,Dance & EDM,785515639,5137,1521,Megan Kashat
785044714,Tal Vez - Eslabon Armado (Previo),49,,785044714,12659,1489,Castle Music
787300204,Ai Khodijah - Aisyah Istri Rasulullah (COVER),50,Pop,787300204,5286,1458,Musik Indonesia
784442965,Vùng Ký Ức (Chillies Cover),51,,784442965,9843,1409,Setoptnk
785637901,Don't Panic,52,Alternative Rock,785637901,4901,1409,Ej⚛ct
785170369,ANISA RAHMAN - AISYAH ISTRI ROSULULLAH | Cover by Kang Sugih,53,Pop,785170369,8438,1387,Kang Sugih
785616928,Feelings,54,Indie,785616928,5979,1354,MARK EXODUS
784169863,Chininha - Camisa de Força | Lançamento 2020,55,,784169863,10806,1326,MELHORES PAGODES ✪
784442059,Yellow Taxi (em đang nghĩ gì) - Hai Sam 🚕 (Instrumental),56,Indie,784442059,8381,1299,HiSam
786382690,Misogi - Little Brain [Cover],57,Metal,786382690,3940,1294,ginseng
784443589,Dalan Liyane - Guyon waton (cover),58,,784443589,8441,1275,M Miftah
785094175,Steven Universe Future - Being Human (complete as if finale),59,Piano,785094175,8995,1250,Ross Morella
786308986,Cayendo (Acoustic),60,,786308986,4709,1229,cloc
787455943,Aisyah Istri Rasulullah (Syakir Daulay),61,,787455943,5691,1191,Rara
786307579,Dear April (Acoustic),62,,786307579,4117,1146,cloc
784242508,IF - Từ Vi,63,Pop,784242508,9259,1125,lehaihuong
782760259,Churrasquinho do Menos é Mais - Melhor eu ir / Ligando os Fatos / Sonho de Amor / Deixa eu te querer,64,,782760259,16521,1119,Grupo Menos é Mais
783817237,Vivo a Mi Manera,65,World Music,783817237,10478,1059,Junior H
784751041,Gigi’s Song,66,Folk & Singer-Songwriter,784751041,5654,1032,Peter McPoland
783055498,Happy Asmara - Ojo Goblok Mencinta,67,,783055498,15493,1032,gefMUSIC
783753196,NGUYÊN HÀ - SAU NÀY HÃY GẶP LẠI NHAU KHI HOA NỞ - MP3,68,Classical,783753196,9969,1011,LangtuWaydau
784076233,Bilal Sonses & Seda Tripkolic - Sonu Gelmez ✪,69,Trap,784076233,10516,1005,Hot Hits Türkiye ✪
783584089,MENEPI - GUYON WATON COVER UKULELE BEATBOX DENY RENY,70,Pop,783584089,9294,999,Musik Indonesia
786158206,VI MØTES IGJEN,71,,786158206,3035,989,Espen Larsen
