artist,uri,followers,genres,popularity
Frank Zappa,spotify:artist:6ra4GIOgCZQZMOaUECftGN,523402,"['album rock', 'art rock', 'classic rock', 'experimental', 'experimental rock', 'hard rock', 'instrumental rock', 'jazz fusion', 'jazz rock', 'progressive rock', 'protopunk', 'psychedelic rock', 'rock', 'symphonic rock', 'zolo']",62
Johnny Tillotson,spotify:artist:36msvw9B10rxW90NSQ2794,41709,"['adult standards', 'brill building pop', 'bubblegum pop', 'doo-wop', 'merseybeat', 'nashville sound', 'rock-and-roll', 'rockabilly']",49
Gene Pitney,spotify:artist:3ap1NzHNV9QA1x1V6z3gSe,127031,"['adult standards', 'brill building pop', 'bubblegum pop', 'folk rock', 'merseybeat', 'rock-and-roll']",49
Gerald Wilson Orchestra,spotify:artist:3uFJaB8DycK3ZlWTzY3d6A,208,['jazz orchestra'],11
Jerry Goldsmith,spotify:artist:7t8q7ikEtcPNtoaKAm9Vu6,54028,"['classic soundtrack', 'scorecore', 'soundtrack', 'theme']",54
Patsy Cline,spotify:artist:7dNsHhGeGU5MV01r06O8gK,466523,"['adult standards', 'nashville sound']",63
Pozo Seco Singers,spotify:artist:25FIeQrCQgGCv2JzuzwzNx,1071,['american folk revival'],30
Vicente Fernández,spotify:artist:4PPoI9LuYeFX8V674Z1R6l,3270206,"['grupera', 'mariachi', 'ranchera']",77
Michel Polnareff,spotify:artist:7aKldvGENbL4bj8TCWHuhT,96198,"['chanson', 'french pop', 'french rock', 'ye ye']",53
Wilson Pickett,spotify:artist:0N5PyKJzS3M1XNlaCL7bbE,375839,"['adult standards', 'brill building pop', 'classic rock', 'classic soul', 'folk rock', 'funk', 'memphis soul', 'motown', 'rock-and-roll', 'soul', 'southern soul']",61
Jerry Goldsmith,spotify:artist:7t8q7ikEtcPNtoaKAm9Vu6,54028,"['classic soundtrack', 'scorecore', 'soundtrack', 'theme']",54
The Marketts,spotify:artist:2W9dD4SfW7p19JtzRgWGjz,6207,['surf music'],35
Captain Beefheart & His Magic Band,spotify:artist:2k8kY9zHUWxuTtwV4UutHw,116382,"['art rock', 'canterbury scene', 'classic rock', 'country rock', 'dance rock', 'experimental', 'experimental rock', 'folk rock', 'garage rock', 'no wave', 'outsider', 'post-punk', 'protopunk', 'psychedelic rock', 'roots rock', 'zolo']",52
Chubby Checker,spotify:artist:7qQJQ3YtcGlqaLg5tcypN2,171089,"['adult standards', 'brill building pop', 'bubblegum pop', 'doo-wop', 'rock-and-roll', 'rockabilly']",57
Blue Cheer,spotify:artist:4PI5IHRvANLL76O5gRmGKL,39109,"['acid rock', 'blues rock', 'classic garage rock', 'hard rock', 'protopunk', 'psychedelic blues-rock', 'psychedelic rock']",37
Carmelia Alves,spotify:artist:0c2j2j6ywKLZW8iYJ7OVcb,696,"['baiao', 'forro', 'forro tradicional']",12
The Pretty Things,spotify:artist:5U16QlMnlSAhkQxBZpLyLO,65361,"['art rock', 'blues rock', 'british blues', 'british invasion', 'classic garage rock', 'classic rock', 'country rock', 'experimental', 'experimental rock', 'folk rock', 'freakbeat', 'garage rock', 'merseybeat', 'protopunk', 'psychedelic rock', 'pub rock']",44
