chartmetric_artist_id,cpp_rank,spotify_popularity,spotify_followers,spotify_monthly_listeners,spotify_listeners_to_followers_ratio,facebook_likes,facebook_talks,youtube_channel_views,youtube_subscribers,wikipedia_views,soundcloud_followers
389423,5399.0,66,81627,1619022.0,19.834393032,71036.0,82.0,,,51.0,
211166,23474.0,50,81648,257234.0,3.150524201,,,63727774.0,122000.0,16.0,306.0
161016,237995.0,0,81681,5.0,6.121374616e-05,,,,,,
203816,9470.0,50,81683,411552.0,5.038404564,,,,,488.0,
550523,9849.0,58,81705,829249.0,10.149305428,8031.0,44.0,441712.0,1350.0,3.0,413.0
311939,43285.0,45,81711,134106.0,1.641223336,,,,,29.0,
209209,25144.0,46,81719,254211.0,3.110794307,139724.0,400.0,,,485.0,
279022,54341.0,44,81725,72030.0,0.8813704497,,,25334.0,1720.0,147.0,
76009,32271.0,45,81727,103086.0,1.2613457,691034.0,34946.0,,,892.0,
401493,31867.0,47,81740,190520.0,2.330804991,,,2137795.0,4120.0,39.0,37.0
49783,27118.0,48,81750,213417.0,2.610605505,165215.0,186.0,17488605.0,49100.0,122.0,
210814,11710.0,52,81760,364700.0,4.460616438,206108.0,1010.0,44808480.0,47300.0,50.0,
212031,22631.0,49,81767,259129.0,3.16911468,2739.0,,16251297.0,34300.0,167.0,
82783,15680.0,45,81789,152492.0,1.8644561,499320.0,114619.0,219516724.0,968000.0,,
578825,58388.0,43,81791,68108.0,0.8327077551000001,78441.0,69.0,,,,2568.0
408564,23177.0,54,81796,328819.0,4.019988753,21284.0,131.0,,,,5788.0
880013,4327.0,59,81801,372963.0,4.559394139,2874911.0,101155.0,1004871837.0,5480000.0,,
854619,3854.0,68,81802,1253234.0,15.320334465999998,8696.0,53.0,30583064.0,128000.0,5050.0,190615.0
631168,10741.0,61,81808,810055.0,9.901904458999999,,,,,,
1655367,16190.0,62,81810,541091.0,6.613995844,,,,,,
214986,18491.0,52,81814,423770.0,5.17967585,,,,,322.0,113.0
443761,41659.0,50,81817,94607.0,1.15632448,206710.0,259.0,,,176.0,
178762,12871.0,58,81835,571283.0,6.980912812000001,27396.0,171.0,4781706.0,,1373.0,
309251,48147.0,47,81843,111404.0,1.36119155,15998.0,7.0,,,,
126844,15450.0,58,81861,534200.0,6.525695997000001,23230.0,396.0,,,,1014.0
201376,16378.0,58,81875,390483.0,4.769258015,307863.0,10980.0,36565014.0,140000.0,21.0,13957.0
885221,11410.0,57,81886,658208.0,8.038101751000001,,,50330605.0,142000.0,,59.0
57317,5813.0,62,81896,707370.0,8.637418189,,,84574183.0,331000.0,,372.0
217854,17775.0,53,81900,442288.0,5.40034188,37114.0,39.0,2348453.0,8170.0,,983.0
4598,17629.0,52,81904,208543.0,2.54618822,245794.0,4487.0,,,,770.0
309858,32029.0,46,81918,176445.0,2.153922215,7515.0,131.0,,910.0,237.0,
471864,338.0,80,81924,13816976.0,168.656022655,7933.0,695.0,717145945.0,895000.0,224.0,
134977,42548.0,43,81926,133639.0,1.631215975,68345.0,182.0,,,2.0,2646.0
351210,17351.0,58,81935,471711.0,5.757136755,223.0,1.0,,2.0,14.0,101.0
466623,73353.0,36,81942,41106.0,0.5016475068,319722.0,516.0,,,,3611.0
11694,15107.0,54,81943,520275.0,6.349230563,31278.0,58.0,,,32.0,24191.0
305331,33760.0,55,81956,164665.0,2.009187857,4546.0,117.0,15745402.0,61500.0,3.0,101.0
570849,6219.0,63,81957,1398980.0,17.069682882000002,,,,,,5625.0
140687,28349.0,48,81961,231662.0,2.826490648,37156.0,105.0,,,303.0,
574,11840.0,50,81963,367976.0,4.489537962,2206.0,58.0,1202885.0,4350.0,874.0,
470245,10216.0,50,81964,82609.0,1.007869308,665618.0,2261.0,,,4899.0,
326369,95261.0,18,81979,2896.0,0.0353261201,,,11925718.0,16900.0,177.0,
658331,17964.0,50,81997,214535.0,2.616376209,37524.0,131.0,,,,
214379,21085.0,57,81997,347743.0,4.240923448,98315.0,222.0,2620521.0,8630.0,134.0,
209905,48775.0,40,81997,96692.0,1.179213874,39527.0,63.0,624913.0,1870.0,104.0,1311.0
217086,19927.0,56,82020,385368.0,4.698463789,1938.0,302.0,,,153.0,
210983,7809.0,57,82035,840065.0,10.240324252,22187.0,24.0,,,87.0,6096.0
137565,8412.0,55,82043,471072.0,5.74176956,109503.0,2085.0,10735166.0,19900.0,230.0,2073.0
21838,45199.0,43,82045,105077.0,1.280723993,121210.0,203.0,19686.0,955.0,89.0,1486.0
119610,31308.0,49,82047,172749.0,2.105488318,47678.0,44.0,15539906.0,60400.0,34.0,47093.0
211320,49119.0,41,82055,105577.0,1.286661386,19136.0,9.0,,,21.0,
1084,9169.0,57,82056,925676.0,11.281027590999999,,,,,339.0,
333708,5986.0,56,82059,1276240.0,15.552712073,2642785.0,9409.0,,,777.0,
207662,17089.0,44,82063,247020.0,3.010126366,,,129213.0,184.0,76.0,
555668,15950.0,56,82066,522270.0,6.364024078,7092.0,32.0,,,,10662.0
212552,16375.0,50,82070,478501.0,5.830400877000001,5131.0,40.0,,,223.0,1217.0
94252,33091.0,44,82072,177851.0,2.167011892,41086.0,90.0,3293615.0,,177.0,118.0
32182,40454.0,48,82081,143062.0,1.742936855,70934.0,94.0,,,43.0,1638.0
209763,35663.0,46,82095,182769.0,2.226310981,100701.0,511.0,,,,69.0
208411,30527.0,46,82096,174611.0,2.126912395,734621.0,21425.0,1693900.0,7170.0,105.0,117.0
194271,9777.0,52,82103,627216.0,7.639379803,2398287.0,1083.0,,,434.0,
503255,10500.0,61,82106,673587.0,8.203870606,17022.0,25.0,32472922.0,84500.0,358.0,
183780,23878.0,55,82117,253182.0,3.0831861860000003,96752.0,6126.0,28102752.0,105000.0,,
593514,36634.0,45,82118,137050.0,1.668939818,54251.0,397.0,3354815.0,21500.0,237.0,
719617,6391.0,43,82179,101622.0,1.23659329,1454769.0,84580.0,1789427359.0,1820000.0,,9149.0
6648,9610.0,45,82185,165741.0,2.016681876,84147.0,470.0,,,109.0,
142140,7158.0,52,82191,159107.0,1.935820224,15110.0,12.0,139237852.0,918000.0,3.0,
557060,89.0,70,82193,731586.0,8.900830971,425356.0,1297.0,20329536447.0,22600000.0,,
18339,20977.0,51,82193,316305.0,3.848320417,37692.0,420.0,19254787.0,59783.0,99.0,64599.0
175861,50129.0,25,82200,14759.0,0.1795498783,,,3606778.0,,441.0,
211228,6187.0,59,82211,1376767.0,16.746749217999998,,,164551.0,289.0,495.0,
