,artist,track,chart,tracks_uri,albums_uris
138,AC,Back In Black,billboard-200,spotify:track:08mG3Y1vljYA6bvDt4Wqkj,spotify:album:6mUdeDZCsExyJLMdAfDuwh
139,Dan ,Dan + Shay,billboard-200,spotify:track:0OanCwvq48nmGcRbkyfR3V,spotify:album:39y6Rf5ecI4MHSD3vkfWpD
140,Melanie Martinez,Cry Baby,billboard-200,spotify:track:052vSBPxqdmYRDlkSPiavc,spotify:album:5JpH5T1sCYnUyZD6TM0QaY
141,NF,The Search,billboard-200,spotify:track:2OKo7g3KfmCt3kyLvUAL0g,spotify:album:6w8mGg73sQl4QJEhpDUvpI
142,Lauren Daigle,Look Up Child,billboard-200,spotify:track:3UUPQ4sAtAVnkcaSr06NBi,spotify:album:6pmoTLfsPpn0wisT3YFJSN
143,Joyner Lucas,ADHD,billboard-200,spotify:track:4X4v3KtkUXwXvDBw5KS9cp,spotify:album:5qkWpkGMULLVnSHb3Sej4X
144,Lynyrd Skynyrd,All Time Greatest Hits,billboard-200,spotify:track:02vl0Str0Jm21knQHNtIwX,spotify:album:7CocMpFkEjPUMkWyPH3s0v
145,Thomas Rhett,Center Point Road,billboard-200,spotify:track:7p9zIciejn8GXnsRdG9EQR,spotify:album:5gnWhEFNbtCn0RLG2cp90g
146,Zac Brown Band,Greatest Hits So Far...,billboard-200,spotify:track:2DYSTRUPaaESUrdo2D11Lp,spotify:album:4WrswQMzGpx5SHzeDbSdbG
147,The Weeknd,Starboy,billboard-200,spotify:track:7MXVkk9YMctZqd1Srtv4MB,spotify:album:2ODvWsOgouMbaA5xf0RkJe
148,Surfaces,Where The Light Is,billboard-200,spotify:track:7JVqkghLS7npSCHqeHWzKW,spotify:album:3mMWlBGocBwsS1Q0o9wvlc
149,Michael Jackson,The Essential Michael Jackson,billboard-200,spotify:track:36O7qmyKLHpUY6WdWh8M5g,spotify:album:77dNyQA0z8dV33M4so4eRY
150,Kendrick Lamar,"good kid, m.A.A.d city",billboard-200,spotify:track:0PKJxo97zXT8oAwl2zFnPh,spotify:album:748dZDqSZy6aPXKcI9H80u
151,G Herbo,PTSD,billboard-200,spotify:track:3jT2LKH0RSbQ8jIUNFzXm5,spotify:album:0jH6iWykjOuyW7Y8zNKMBk
152,Eminem,The Eminem Show,billboard-200,spotify:track:3CpoeW0cZSDzIRv5z34F87,spotify:album:2cWBwpqMsDJC1ZUwz813lo
153,American Aquarium,Lamentations,billboard-200,spotify:track:66uH8VIiTWYj9HPBtgW0rx,spotify:album:16cNE8Er5s7OeJAe0Ki3vC
154,DaBaby,Baby On Baby,billboard-200,spotify:track:3WyRgi8CzQnhzO0xw79tTS,spotify:album:0O1PJ0t69iTO5yWrIeIga0
155,Michael Jackson,Thriller,billboard-200,spotify:track:7azo4rpSUh8nXgtonC6Pkq,spotify:album:2X8UOIkZQdcz2Hi5Ynt2uk
156,Ozzy Osbourne,Ordinary Man,billboard-200,spotify:track:6eEYGGFfFbtKHCgJM4uh9v,spotify:album:39yp6JEfOhqVEpCiy6i6M3
157,SZA,Ctrl,billboard-200,spotify:track:14TnahSDwgE0z7xa12nNwk,spotify:album:4WlFy5cqXgkmbNKcfz50vl
158,5 Seconds Of Summer,C A L M,billboard-200,spotify:track:5vNGON1qjFZkj6hPud0CJ0,spotify:album:0ASfeIqgGZ2rFSj74nMRbZ
159,Kacey Musgraves,Golden Hour,billboard-200,spotify:track:0pMfPzdRiPAoSM9yWF4OcT,spotify:album:7f6xPqyaolTiziKf5R5Z0c
160,George Strait,50 Number Ones,billboard-200,spotify:track:6r4LyNgkR7DmwgKj8Hbe6r,spotify:album:2CIOi72adKDDQpj9x69qpW
161,Nirvana,Nevermind,billboard-200,spotify:track:0eeEzvw5Etwv6tyz2PyE6L,spotify:album:2uEf3r9i2bnxwJQsxQ0xQ7
162,Elvis Presley,The Essential Elvis Presley,billboard-200,spotify:track:2pCwNrjm7IoAHAj2XqflCu,spotify:album:3X3rFfVKCW58sKMO0UXkwO
163,Lil Tecca,We Love You Tecca,billboard-200,spotify:track:10mIc2UoZkg1kaOfKSZ8y1,spotify:album:1I6FpscJIfwf4T56VxGVsB
164,Tyler,IGOR,billboard-200,spotify:track:51RN0kzWd7xeR4th5HsEtW,spotify:album:5zi7WsKlIiUXv09tbGLKsE
165,Nipsey Hussle,Victory Lap,billboard-200,spotify:track:6hkQ6OQ6nhe7QCckH91aGa,spotify:album:6rcbbhcm8Os7EiVRHP9Aef
166,Meek Mill,Championships,billboard-200,spotify:track:5DTOk0tCrmicVQP4mc6hkr,spotify:album:6UYZEYjpN1DYRW0kqFy9ZE
167,Ed Sheeran,x,billboard-200,spotify:track:2oDWmnnllWUs6KgoCITtQ0,spotify:album:44a1fzx5dGPT2VKliOw6MG
168,Lady Gaga ,A Star Is Born (Soundtrack),billboard-200,spotify:track:2rbDhOo9Fh61Bbu23T2qCk,spotify:album:3edjzMAVB9RYRd4UcZBchx
169,Adele,21,billboard-200,spotify:track:27ERF55gynMmhxzwTAayAO,spotify:album:0A3VhuohWdulGbN4U8s6cq
170,Lil Baby ,Drip Harder,billboard-200,spotify:track:78QR3Wp35dqAhFEc2qAGjE,spotify:album:2yXnY2NiaZk9QiJJittS81
