,artist,uri,followers,genres,popularity,spotify_id,chart
2438,Rick Ross,spotify:artist:1sBkRIssrMs1AbVkOJbc7a,3933137,"['dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",82,1sBkRIssrMs1AbVkOJbc7a,tastemaker-albums
2439,Ben Lukas Boysen,spotify:artist:0lYoJnsYMVaAitj1pZVqER,18160,"['abstract idm', 'ambient', 'compositional ambient', 'drift', 'drone', 'focus', 'neo-classical', 'warm drone']",50,0lYoJnsYMVaAitj1pZVqER,tastemaker-albums
2440,Brendan Benson,spotify:artist:2Ij97fuR3unjlboQfIYs31,21900,"['garage rock', 'jangle pop', 'power pop']",44,2Ij97fuR3unjlboQfIYs31,tastemaker-albums
2441,"Israel ""IZ"" Kamakawiwo'Ole",spotify:artist:4ogvuDRerGhZfSf7TtzHlr,269143,['hawaiian'],65,4ogvuDRerGhZfSf7TtzHlr,world-albums
2442,Davido,spotify:artist:0Y3agQaa6g2r0YmHPOO9rh,316390,"['afropop', 'ghanaian hip hop', 'nigerian pop']",71,0Y3agQaa6g2r0YmHPOO9rh,world-albums
2443,Burna Boy,spotify:artist:3wcj11K77LjEY1PkEazffa,454886,"['afro dancehall', 'dancehall', 'nigerian hip hop', 'nigerian pop']",80,3wcj11K77LjEY1PkEazffa,world-albums
2444,Mason Lieberman,spotify:artist:1CMYlrbmoqkLQn7sccIMtA,117,[],22,1CMYlrbmoqkLQn7sccIMtA,world-digital-song-sales
2445,Mahmood Khan,spotify:artist:0hqxLf8XywytoghGqo0oFi,64,[],3,0hqxLf8XywytoghGqo0oFi,world-digital-song-sales
2446,Chung Ha,spotify:artist:2PSJ6YriU7JsFucxACpU7Y,855332,['k-pop'],70,2PSJ6YriU7JsFucxACpU7Y,world-digital-song-sales
2447,Manu Pilas,spotify:artist:2TJHmhbmT7L3gw2NKyDTHh,13707,[],68,2TJHmhbmT7L3gw2NKyDTHh,world-digital-song-sales
2448,Stonebwoy,spotify:artist:2ayt5jDUuTCpoTG7sHSvuq,29770,"['afro dancehall', 'dancehall', 'ghanaian pop', 'hiplife']",55,2ayt5jDUuTCpoTG7sHSvuq,world-digital-song-sales
2449,Rammstein,spotify:artist:6wWVKhxIU2cEi0K81v7HvP,4196254,"['alternative metal', 'german metal', 'industrial', 'industrial metal', 'industrial rock', 'neue deutsche harte', 'nu metal']",80,6wWVKhxIU2cEi0K81v7HvP,world-digital-song-sales
2450,dj 6rb,spotify:artist:7bEdOuEDXiW7XKrZMTLuzO,1726,[],51,7bEdOuEDXiW7XKrZMTLuzO,world-digital-song-sales
2451,Carmen Twillie,spotify:artist:6O3ZB5Cz5CNT3wQWouKcNJ,6142,"['disney', 'movie tunes']",56,6O3ZB5Cz5CNT3wQWouKcNJ,world-digital-song-sales
2452,Playboi Carti,spotify:artist:699OTQXzgjhIYAHMy9RyPD,3471973,"['atl hip hop', 'hip hop', 'rap', 'trap']",85,699OTQXzgjhIYAHMy9RyPD,hot-100
2453,Quavo,spotify:artist:0VRj0yCOv2FXJNP47XQnx5,3923978,"['atl hip hop', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'trap']",89,0VRj0yCOv2FXJNP47XQnx5,hot-100
2454,Travis Scott,spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY,9443170,['rap'],98,0Y5tJX1MQlPlqiwlOH1tJY,hot-100
2455,Kid Cudi,spotify:artist:0fA0VVWsXO9YnASrzqfmYu,3686155,"['hip hop', 'pop rap', 'rap']",87,0fA0VVWsXO9YnASrzqfmYu,hot-100
2456,Young Thug,spotify:artist:50co4Is1HCEo8bhOyUWKpn,5113508,"['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'pop rap', 'rap', 'trap']",91,50co4Is1HCEo8bhOyUWKpn,hot-100
2457,Halsey,spotify:artist:26VFTg2z8YR0cCuwLzESi2,10445572,"['dance pop', 'electropop', 'etherpop', 'indie poptimism', 'pop', 'post-teen pop']",91,26VFTg2z8YR0cCuwLzESi2,hot-100
2458,Fivio Foreign,spotify:artist:14CHVeJGrR5xgUGQFV5BVM,62022,"['new york drill', 'trap']",76,14CHVeJGrR5xgUGQFV5BVM,hot-100
2459,Sosa Geek,spotify:artist:2UyyBkpzN5w3hzZBZGvRZb,803,[],69,2UyyBkpzN5w3hzZBZGvRZb,hot-100
2460,Roddy Ricch,spotify:artist:757aE44tKEUQEqRuT6GnEB,2526217,['melodic rap'],93,757aE44tKEUQEqRuT6GnEB,hot-100
2461,I,spotify:artist:53XhwfbYqKCa1cC15pYq2q,26817232,"['modern rock', 'rock']",89,53XhwfbYqKCa1cC15pYq2q,hot-100
2462,Lee Brice,spotify:artist:5Zq7R5qmi58ByYyBQTlNuk,1240070,"['contemporary country', 'country', 'country road', 'modern country rock']",75,5Zq7R5qmi58ByYyBQTlNuk,hot-100
2463,42 Dugg,spotify:artist:45gHcnDnMC15sgx3VL7ROG,35831,"['detroit trap', 'trap']",69,45gHcnDnMC15sgx3VL7ROG,hot-100
2464,Julia Michaels,spotify:artist:0ZED1XzwlLHW4ZaG4lOT6m,2797247,"['dance pop', 'electropop', 'pop', 'post-teen pop']",85,0ZED1XzwlLHW4ZaG4lOT6m,hot-100
2465,Demi Lovato,spotify:artist:6S2OmqARrzebs0tKUEyXyp,17044312,"['dance pop', 'pop', 'post-teen pop']",86,6S2OmqARrzebs0tKUEyXyp,hot-100
