artist,uri,followers,genres,popularity,decade,is_recommended,billboard
Jorge Ben Jor,spotify:artist:5JYtpnUKxAzXfHEYpOeeit,488007,"['bossa nova', 'mangue bit', 'mpb', 'pagode', 'samba', 'samba-rock']",65,1960.0,0,
Julio Gutierrez,spotify:artist:5YaKihcj4tZHLlw0uPpsaw,191,"['charanga', 'mambo']",7,1960.0,1,
The Kinks,spotify:artist:1SQRv42e4PjEYfPhS0Tk9E,1508880,"['album rock', 'art rock', 'british invasion', 'classic rock', 'dance rock', 'folk rock', 'glam rock', 'mellow gold', 'protopunk', 'psychedelic rock', 'rock', 'roots rock']",72,1960.0,0,
Jack Scott,spotify:artist:09XH5qagU5qcWhYXcQYsjX,176,[],46,1960.0,1,
Michel Legrand,spotify:artist:1EtE0iSY6iFlN9L9c53ETy,30639,"['chanson', 'classic soundtrack', 'french jazz', 'french soundtrack']",50,1960.0,1,
Raimon,spotify:artist:3oZq4zhpZVJey6Vo5lRByX,34,[],34,1960.0,1,
The Lovin' Spoonful,spotify:artist:7CCn4PFRRRZF127jtCBAUe,258851,"['brill building pop', 'bubblegum pop', 'classic rock', 'country rock', 'folk', 'folk rock', 'mellow gold', 'merseybeat', 'psychedelic rock', 'rock', 'rock-and-roll', 'roots rock', 'soft rock', 'traditional folk']",59,1960.0,1,
Gene Pitney,spotify:artist:3ap1NzHNV9QA1x1V6z3gSe,127202,"['adult standards', 'brill building pop', 'bubblegum pop', 'folk rock', 'merseybeat', 'rock-and-roll']",49,1960.0,1,
Gerald Wilson Orchestra,spotify:artist:3uFJaB8DycK3ZlWTzY3d6A,208,['jazz orchestra'],11,1960.0,1,
Patsy Cline,spotify:artist:7dNsHhGeGU5MV01r06O8gK,466993,"['adult standards', 'nashville sound']",63,1960.0,0,
Pozo Seco Singers,spotify:artist:25FIeQrCQgGCv2JzuzwzNx,1071,['american folk revival'],30,1960.0,1,
Vicente Fernández,spotify:artist:4PPoI9LuYeFX8V674Z1R6l,3273974,"['grupera', 'mariachi', 'ranchera']",77,1960.0,0,
Michel Polnareff,spotify:artist:7aKldvGENbL4bj8TCWHuhT,96198,"['chanson', 'french pop', 'french rock', 'ye ye']",53,1960.0,1,
Wilson Pickett,spotify:artist:0N5PyKJzS3M1XNlaCL7bbE,376148,"['adult standards', 'brill building pop', 'classic rock', 'classic soul', 'folk rock', 'funk', 'memphis soul', 'motown', 'rock-and-roll', 'soul', 'southern soul']",61,1960.0,1,
Captain Beefheart ,spotify:artist:2k8kY9zHUWxuTtwV4UutHw,116470,"['art rock', 'canterbury scene', 'classic rock', 'country rock', 'dance rock', 'experimental', 'experimental rock', 'folk rock', 'garage rock', 'no wave', 'outsider', 'post-punk', 'protopunk', 'psychedelic rock', 'roots rock', 'zolo']",52,1960.0,1,
Chubby Checker,spotify:artist:7qQJQ3YtcGlqaLg5tcypN2,171298,"['adult standards', 'brill building pop', 'bubblegum pop', 'doo-wop', 'rock-and-roll', 'rockabilly']",57,1960.0,1,
Blue Cheer,spotify:artist:4PI5IHRvANLL76O5gRmGKL,39109,"['acid rock', 'blues rock', 'classic garage rock', 'hard rock', 'protopunk', 'psychedelic blues-rock', 'psychedelic rock']",37,1960.0,1,
Carmelia Alves,spotify:artist:0c2j2j6ywKLZW8iYJ7OVcb,696,"['baiao', 'forro', 'forro tradicional']",12,1960.0,1,
The Pretty Things,spotify:artist:5U16QlMnlSAhkQxBZpLyLO,65437,"['art rock', 'blues rock', 'british blues', 'british invasion', 'classic garage rock', 'classic rock', 'country rock', 'experimental', 'experimental rock', 'folk rock', 'freakbeat', 'garage rock', 'merseybeat', 'protopunk', 'psychedelic rock', 'pub rock']",44,1960.0,1,
Traffic,spotify:artist:1CD77o9fbdyQFrHnUPUEsF,313303,"['album rock', 'art rock', 'blues rock', 'british blues', 'classic rock', 'country rock', 'electric blues', 'folk', 'folk rock', 'hard rock', 'jam band', 'mellow gold', 'progressive rock', 'psychedelic rock', 'rock', 'roots rock', 'soft rock', 'symphonic rock']",56,1960.0,1,
Jean Prodromidès,spotify:artist:1B2pjoZjfywGdLnRmmt8yk,53,"['classic soundtrack', 'french soundtrack']",2,1960.0,1,
The Little Dippers,spotify:artist:0cT2S58Ulp0BGro6KXAm56,155,[],23,1960.0,1,
Brenda Lee,spotify:artist:4cPHsZM98sKzmV26wlwD2W,162501,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'rockabilly']",55,1960.0,1,
Neil Diamond,spotify:artist:7mEIug7XUlQHikrFxjTWes,1115855,"['adult standards', 'brill building pop', 'folk', 'folk rock', 'mellow gold', 'singer-songwriter', 'soft rock', 'yacht rock']",72,1960.0,0,
The Clique,spotify:artist:0WqQKHGNYYkLta53n6pTOM,30,[],12,1960.0,1,
Jackie DeShannon,spotify:artist:0iVed2Qu7dmL0pIYCj1Xw8,22277,"['brill building pop', 'bubblegum pop', 'folk rock', 'merseybeat']",46,1960.0,1,
Mulatu Astatke,spotify:artist:7HGFXtBhRq3g1Ma3nH4Rgv,116746,"['afrobeat', 'afropop', 'ethio-jazz', 'funk', 'world']",56,1960.0,1,
Bobby Vinton,spotify:artist:6bOYtKnpLPQSfMpS2ilotK,135117,"['adult standards', 'brill building pop', 'bubblegum pop', 'easy listening', 'lounge', 'rock-and-roll']",57,1960.0,1,
The Ventures,spotify:artist:2GaayiIs1kcyNqRXQuzp35,92153,"['rock-and-roll', 'rockabilly', 'surf music']",51,1960.0,1,
Bud Powell,spotify:artist:570vCzcespB48HIQyTbDO6,62326,"['avant-garde jazz', 'bebop', 'contemporary post-bop', 'cool jazz', 'free jazz', 'hard bop', 'jazz', 'jazz piano', 'soul jazz', 'stride', 'vocal jazz']",45,1960.0,1,
The Coasters,spotify:artist:3QZKZBEmr54lAVI5XvmjnM,120091,"['brill building pop', 'doo-wop', 'motown', 'rhythm and blues', 'rock-and-roll', 'rockabilly', 'soul']",54,1960.0,1,
Peter Thomas,spotify:artist:2MhPVBzM72QjbQPhybKjyr,1328,[],27,1960.0,1,
Archie Bell ,spotify:artist:1kupwLFpHALpmhp5qol8xH,37173,"['classic soul', 'disco', 'motown', 'northern soul', 'philly soul', 'quiet storm', 'rhythm and blues', 'soul', 'southern soul']",43,1960.0,1,
Smith,spotify:artist:2wY79sveU1sp5g7SokKOiI,12589312,"['pop', 'post-teen pop', 'uk pop']",89,1960.0,0,
John Fahey,spotify:artist:4js8BDiQwnHLlDmT1shPH7,43032,"['american primitive', 'drone folk', 'experimental', 'fingerstyle', 'folk', 'folk rock', 'freak folk', 'traditional blues', 'traditional folk']",47,1960.0,1,
